web-scraper-order,web-scraper-start-url,product_name,price,discount,customer-review
"1749830011-37","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Lumos Kursi Kantor Sandaran Tinggi - Abu-abu","Rp1.799.000","","5 |"
"1749830011-38","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa G Council Kursi Kantor Sandaran Rendah - Cokelat","Rp1.959.000","18%","5 |"
"1749830011-39","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Nemo Kursi Kantor Sandaran Rendah - Hitam","Rp959.000","26%","4.7 |"
"1749830011-40","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Amatsu Rhonin Kursi Gaming Sandaran Tinggi - Merah/hitam","Rp5.599.000","9%","4.9 |"
"1749830011-41","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Nemo Kursi Kantor Sandaran Rendah - Biru/hitam","Rp959.000","26%","4.6 |"
"1749830011-42","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa G Council Kursi Kantor Sandaran Rendah - Abu-abu","Rp1.959.000","18%","5 |"
"1749830011-43","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Lumos Kursi Kantor Sandaran Tinggi - Biru","Rp1.799.000","","4.8 |"
"1749830011-44","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Luke Kursi Kantor Sandaran Rendah - Hitam","Rp1.799.000","","4.9 |"
"1749830011-45","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Coral Kursi Kantor Sandaran Rendah - Cokelat","Rp959.000","20%","4.7 |"
"1749830011-46","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Sunon Diamond Kursi Serbaguna - Kuning","Rp1.199.400","40%",""
"1749830011-47","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Coral Kursi Kantor Sandaran Rendah - Pink Fuchsia","Rp959.000","20%","4.8 |"
"1749830011-48","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Uriel Kursi Kantor Sandaran Tinggi - Hitam","Rp5.799.000","","4.8 |"
"1749830011-49","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Omar Kursi Kantor Sandaran Tinggi - Abu-abu","Rp2.699.000","","5 |"
"1749830011-50","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Sunon Neo Olive Kursi Kantor Sandaran Rendah - Kuning","Rp2.899.000","",""
